اللجنة العامة,نسبة عبد الفتاح السيسي,نسبة حمدين صباحى,عدد المسجلين,العاملون باللجان,حضور المسجلين,إجمالي الحضور,نسبة المشاركة,الأصوات الباطلة,الأصوات الصحيحة,عبد الفتاح السيسي,حمدين صباحى
الاسماعيليه اول,96.46,3.54,40956,62,22890,22952,56.04,1273,21679,20912,767
الاسماعيليه ثان,96.42,3.58,157502,237,82616,82853,52.60,4713,78140,75345,2795
مركز الاسماعيليه,96.60,3.40,82792,130,39475,39605,47.84,2119,37486,36211,1275
مركز التل الكبير,97.83,2.17,66119,102,34720,34822,52.67,1322,33500,32772,728
مركز القنطره غرب,97.22,2.78,75740,130,32884,33014,43.59,1418,31596,30719,877
مركز فايد,97.52,2.48,72992,152,35376,35528,48.67,1563,33965,33121,844
القنطره شرق,96.26,3.74,31408,47,14473,14520,46.23,730,13790,13274,516
الاسماعيليه ثالث,94.98,5.02,78798,125,43640,43765,55.54,3271,40494,38462,2032
ابو صوير,97.11,2.89,88303,155,40992,41147,46.60,1734,39413,38274,1139
القصاصين الجديدة,98.11,1.89,52460,81,29054,29135,55.54,1041,28094,27562,532
